lon,lat,elev_m,bouguer_mGal,acc_raw,local_x_perp_m,local_y_along_m
130.957973,-25.643579,594.9,-124.298,3.00,40059.8,394203.0
131.049632,-25.636908,579.8,-123.638,3.00,40801.6,403363.2
131.146301,-25.646907,570.1,-127.201,3.00,39689.7,413024.1
131.247970,-25.641906,562.5,-126.379,3.00,40245.8,423184.7
131.351300,-25.648575,569.7,-126.954,3.00,39504.3,433511.3
131.452969,-25.648574,551.0,-135.964,3.00,39504.4,443671.9
131.551298,-25.646903,552.8,-132.539,3.00,39690.2,453498.8
131.650967,-25.656903,557.1,-140.580,3.00,38578.2,463459.5
131.554969,-25.751904,584.2,-137.251,3.00,28014.6,453865.6
131.447970,-25.750245,593.4,-139.991,3.00,28199.1,443172.4
131.357971,-25.746905,583.1,-142.521,3.00,28570.5,434178.0
131.239631,-25.743577,582.5,-136.549,3.00,28940.5,422351.4
131.152972,-25.746907,600.4,-131.232,3.00,28570.3,413690.8
131.051303,-25.746908,608.6,-127.569,3.00,28570.1,403530.2
130.944634,-25.745249,624.1,-129.224,3.00,28754.6,392869.9
130.852974,-25.745250,643.7,-129.438,3.00,28754.5,383709.6
130.724636,-25.756911,665.3,-122.649,3.00,27457.9,370883.8
130.646306,-25.746912,688.7,-118.324,3.00,28569.7,363055.6
130.552977,-25.748583,713.0,-115.609,3.00,28383.9,353728.5
130.649637,-25.851912,688.8,-122.321,3.00,16894.2,363388.5
130.767976,-25.856911,681.8,-124.661,3.00,16338.4,375215.1
130.846306,-25.849411,661.0,-125.559,3.00,17172.3,383043.2
130.946305,-25.851910,647.6,-131.748,3.00,16894.5,393036.9
131.049634,-25.848579,660.9,-134.530,3.00,17264.8,403363.4
131.146303,-25.846908,631.5,-136.499,3.00,17450.6,413024.3
131.357972,-25.850246,635.7,-140.282,3.00,17079.5,434178.1
131.457971,-25.841905,628.1,-136.374,3.00,18007.0,444171.8
131.550970,-25.843574,610.0,-133.028,3.00,17821.4,453466.0
131.662970,-25.938574,644.0,-132.550,3.00,7257.9,464659.0
131.563801,-25.920244,643.8,-124.857,3.00,9296.1,454748.3
131.499632,-25.996905,656.6,-126.819,3.00,771.7,448335.4
131.447972,-25.948576,637.5,-130.321,3.00,6145.7,443172.6
131.249634,-25.950247,622.3,-133.070,3.00,5959.9,423351.0
131.142974,-25.951908,656.8,-133.143,3.00,5775.2,412691.6
131.044635,-25.961909,748.6,-129.423,3.00,4663.1,402863.8
131.011306,-26.001910,746.0,-125.069,3.00,215.2,399533.0
130.944636,-25.953580,698.2,-127.444,3.00,5589.3,392870.1
130.864637,-25.950251,691.6,-125.535,3.00,5959.4,384875.2
130.754637,-25.951912,696.3,-121.310,3.00,5774.7,373882.0
130.646308,-25.951913,683.4,-118.222,3.00,5774.6,363055.8
130.546309,-25.945254,646.8,-115.679,3.00,6515.1,353062.1
131.192970,-25.613576,548.4,-117.446,3.00,43396.0,417688.1
131.084634,-25.883579,671.3,-133.486,3.00,13373.0,406861.3
130.737977,-25.898582,688.1,-120.740,3.00,11704.8,372217.0
130.546308,-25.886913,670.0,-116.811,3.00,13002.3,353062.0
131.337973,-25.938576,628.9,-136.980,3.00,7257.6,432179.5
