# VFSA 2D iteration best - 2026-09-15 00:25:55
# chains=2  n_ctrl=250  frac_update_controls=1.0  temp_kappa=1.0  cool_ratio=0.001  target_rms=1.0  n_trials=1
--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
 Chain     Iter         Temp       Chi2Curr        dChi2      RMSCurr     CurrRMS     Chi2Best     RMSBest   Nacc Model
     1      182       0.2091     53768.0789   -1445.2587      8.00060     8.00060   42166.3375     7.08506      1 chain_01/itr_00182_trial_01.rho
     1      183       0.2073     54686.5752     918.4963      8.06865     8.06865   42166.3375     7.08506      1 chain_01/itr_00183_trial_01.rho
     1      184       0.2055     58998.2590    4311.6838      8.38069     8.38069   42166.3375     7.08506      1 chain_01/itr_00184_trial_01.rho
     1      185       0.2038     57151.0653   -1847.1937      8.24845     8.24845   42166.3375     7.08506      1 chain_01/itr_00185_trial_01.rho
     1      186        0.202     57895.5203     744.4551      8.30200     8.30200   42166.3375     7.08506      1 chain_01/itr_00186_trial_01.rho
     1      187       0.2003     55705.3658   -2190.1545      8.14346     8.14346   42166.3375     7.08506      1 chain_01/itr_00187_trial_01.rho
     1      188       0.1986     66567.5466   10862.1808      8.90208     8.90208   42166.3375     7.08506      1 chain_01/itr_00188_trial_01.rho
     1      189       0.1968     59730.9525   -6836.5941      8.43257     8.43257   42166.3375     7.08506      1 chain_01/itr_00189_trial_01.rho
     1      190       0.1951     59561.7019    -169.2506      8.42062     8.42062   42166.3375     7.08506      1 chain_01/itr_00190_trial_01.rho
     1      191       0.1935     57632.4997   -1929.2022      8.28312     8.28312   42166.3375     7.08506      1 chain_01/itr_00191_trial_01.rho
     1      192       0.1918     58324.5795     692.0798      8.33271     8.33271   42166.3375     7.08506      1 chain_01/itr_00192_trial_01.rho
     1      193       0.1902     53473.2444   -4851.3350      7.97864     7.97864   42166.3375     7.08506      1 chain_01/itr_00193_trial_01.rho
     1      194       0.1885     53918.0366     444.7922      8.01175     8.01175   42166.3375     7.08506      1 chain_01/itr_00194_trial_01.rho
     1      195       0.1869     52231.5109   -1686.5257      7.88545     7.88545   42166.3375     7.08506      1 chain_01/itr_00195_trial_01.rho
     1      196       0.1853     52264.6122      33.1013      7.88795     7.88795   42166.3375     7.08506      1 chain_01/itr_00196_trial_01.rho
     1      197       0.1837     54938.2256    2673.6134      8.08719     8.08719   42166.3375     7.08506      1 chain_01/itr_00197_trial_01.rho
     1      198       0.1821     57385.4476    2447.2220      8.26535     8.26535   42166.3375     7.08506      1 chain_01/itr_00198_trial_01.rho
     1      199       0.1805     56142.6396   -1242.8080      8.17536     8.17536   42166.3375     7.08506      1 chain_01/itr_00199_trial_01.rho
     1      200        0.179     57622.8867    1480.2471      8.28243     8.28243   42166.3375     7.08506      1 chain_01/itr_00200_trial_01.rho
     1      201       0.1774     56943.9400    -678.9467      8.23349     8.23349   42166.3375     7.08506      1 chain_01/itr_00201_trial_01.rho
     1      202       0.1759     62351.0402    5407.1001      8.61553     8.61553   42166.3375     7.08506      1 chain_01/itr_00202_trial_01.rho
     1      203       0.1744     62456.8917     105.8515      8.62284     8.62284   42166.3375     7.08506      1 chain_01/itr_00203_trial_01.rho
     1      204       0.1729     71008.5685    8551.6768      9.19424     9.19424   42166.3375     7.08506      1 chain_01/itr_00204_trial_01.rho
     1      205       0.1714     71008.5685       0.0000      9.19424     9.19424   42166.3375     7.08506      0 -
     1      206       0.1699     69669.5903   -1338.9783      9.10714     9.10714   42166.3375     7.08506      1 chain_01/itr_00206_trial_01.rho
